date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:00	153/153	---MCZ	200	added ('OK')	text/plain	etag:W/%22e2-59dfbd268f800%22	https://www.northerncam.co.uk/robots.txt		(from )
15:48:01	37976/37976	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:01%20GMT	https://www.northerncam.co.uk/	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/index.html	(from )
15:48:01	221/221	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20May%202025%2019:48:01%20GMT	https://www.northerncam.co.uk/images/default/logo.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/logo.png	(from https://www.northerncam.co.uk/)
15:48:02	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-59dfbd404f4c0%22	https://www.northerncam.co.uk/images/default/favicons/favicon.ico	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/favicon.ico	(from https://www.northerncam.co.uk/)
15:48:02	4666/4666	---M--	200	added ('OK')	image/png	etag:%22123a-59dfbd3e67040%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-57x57.png	(from https://www.northerncam.co.uk/)
15:48:02	4822/4822	---M--	200	added ('OK')	image/png	etag:%2212d6-59dfbd3e67040%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-60x60.png	(from https://www.northerncam.co.uk/)
15:48:02	5792/5792	---M--	200	added ('OK')	image/png	etag:%2216a0-59dfbd3f5b280%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-72x72.png	(from https://www.northerncam.co.uk/)
15:48:03	6114/6114	---M--	200	added ('OK')	image/png	etag:%2217e2-59dfbd3f5b280%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-76x76.png	(from https://www.northerncam.co.uk/)
15:48:03	9416/9416	---M--	200	added ('OK')	image/png	etag:%2224c8-59dfbd3d72e00%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-114x114.png	(from https://www.northerncam.co.uk/)
15:48:03	10094/10094	---M--	200	added ('OK')	image/png	etag:%22276e-59dfbd3d72e00%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-120x120.png	(from https://www.northerncam.co.uk/)
15:48:04	12896/12896	---M--	200	added ('OK')	image/png	etag:%223260-59dfbd3e67040%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-144x144.png	(from https://www.northerncam.co.uk/)
15:48:04	14007/14007	---M--	200	added ('OK')	image/png	etag:%2236b7-59dfbd3e67040%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-152x152.png	(from https://www.northerncam.co.uk/)
15:48:04	17679/17679	---M--	200	added ('OK')	image/png	etag:%22450f-59dfbd3e67040%22	https://www.northerncam.co.uk/images/default/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/apple-icon-180x180.png	(from https://www.northerncam.co.uk/)
15:48:04	17912/17912	---M--	200	added ('OK')	image/png	etag:%2245f8-59dfbd3c7ebc0%22	https://www.northerncam.co.uk/images/default/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/android-icon-192x192.png	(from https://www.northerncam.co.uk/)
15:48:04	2548/2548	---M--	200	added ('OK')	image/png	etag:%229f4-59dfbd3f5b280%22	https://www.northerncam.co.uk/images/default/favicons/favicon-32x32.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/favicon-32x32.png	(from https://www.northerncam.co.uk/)
15:48:05	7921/7921	---M--	200	added ('OK')	image/png	etag:%221ef1-59dfbd404f4c0%22	https://www.northerncam.co.uk/images/default/favicons/favicon-96x96.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/favicon-96x96.png	(from https://www.northerncam.co.uk/)
15:48:05	1372/1372	---M--	200	added ('OK')	image/png	etag:%2255c-59dfbd3f5b280%22	https://www.northerncam.co.uk/images/default/favicons/favicon-16x16.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/favicon-16x16.png	(from https://www.northerncam.co.uk/)
15:48:06	235/235	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20May%202025%2019:48:06%20GMT	https://www.northerncam.co.uk/images/default/favicons/manifest.json	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/manifest.json	(from https://www.northerncam.co.uk/)
15:48:06	241/241	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20May%202025%2019:48:06%20GMT	https://www.northerncam.co.uk/images/default/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/favicons/ms-icon-144x144.png	(from https://www.northerncam.co.uk/)
15:48:06	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/MantriqWebsite/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.northerncam.co.uk/)
15:48:06	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-59dfbd2877c80-gzip%22	https://www.northerncam.co.uk/css/slick.css	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/css/slick.css	(from https://www.northerncam.co.uk/)
15:48:07	3479/3479	---M-Z	200	added ('OK')	text/css	etag:%22d97-59dfbd2877c80-gzip%22	https://www.northerncam.co.uk/css/slick-theme.css	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/css/slick-theme.css	(from https://www.northerncam.co.uk/)
15:48:07	1636/1636	---M-Z	200	added ('OK')	text/css	etag:%22664-61997416d657f-gzip%22	https://www.northerncam.co.uk/css/northerncam-v2.4.css	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/css/northerncam-v2.4.css	(from https://www.northerncam.co.uk/)
15:48:07	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Sat,%2024%20May%202025%2019:48:07%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/MantriqWebsite/www.google.com/recaptcha/api.js	(from https://www.northerncam.co.uk/)
15:48:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20May%202025%2019:48:08%20GMT	http://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/MantriqWebsite/platform-api.sharethis.com/js/sharethis.16.delayed	(from https://www.northerncam.co.uk/)
15:48:08	210857/210857	---MCZ	200	added ('OK')	text/javascript	etag:W/%22337a9-FHbkO2JUY2ewb+wCH4dS0MuS2SM%22	https://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/MantriqWebsite/platform-api.sharethis.com/js/sharethis.js	(from https://www.northerncam.co.uk/)
15:48:08	171790/171790	---M-Z	200	added ('OK')	text/css	etag:%2229f0e-61869dd91b364-gzip%22	https://www.northerncam.co.uk/css/style.css?v=1.2	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/css/style7839.css	(from https://www.northerncam.co.uk/)
15:48:08	10100/10100	---M--	200	added ('OK')	image/png	etag:%222774-59dfbd4143700%22	https://www.northerncam.co.uk/images/default/logos/site-logo.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/logos/site-logo.png	(from https://www.northerncam.co.uk/)
15:48:09	50958/50958	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:09%20GMT	https://www.northerncam.co.uk/pages/about-us	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/about-us.html	(from https://www.northerncam.co.uk/)
15:48:09	82690/82690	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:09%20GMT	https://www.northerncam.co.uk/pages/meet-the-team	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/meet-the-team.html	(from https://www.northerncam.co.uk/)
